"","L1B.r1","L1B.r2","L1B_benomyl.r1","L1B_benomyl.r2","L4C.r1","L4C.r2","L4C_benomyl.r1","L4C_benomyl.r2","U10D.r1","U10D.r2","U10D_benomyl.r1","U10D_benomyl.r2","U3B.r1","U3B.r2","U3B_benomyl.r1","U3B_benomyl.r2","U3E.r1","U3E.r2","U3E_benomyl.r1","U3E_benomyl.r2","U5C.r1","U5C.r2","U5C_benomyl.r1","U5C_benomyl.r2"
"CLUG_00641T0",74,47,21,27,77,117,30,59,67,73,13,24,162,131,40,21,123,101,31,33,168,217,19,23
"CLUG_00642T0",61,4,72,117,6,0,35,48,3,5,22,26,6,260,92,145,10,205,154,22,9,7,29,53
"CLUG_00643T0",1596,2945,844,1323,5902,2883,1421,2277,1546,4454,1577,3156,5108,11241,2144,1104,5743,7361,3583,6267,5564,6126,5393,9649
"CLUG_00644T0",1491,1538,111,174,4848,2422,168,154,1481,2446,155,140,1855,2044,109,121,2155,2279,204,214,2175,2001,90,66
"CLUG_00645T0",608,617,52,64,1319,1192,53,71,794,1085,82,76,902,1016,76,60,1095,1131,89,122,949,1047,41,27
"CLUG_00646T0",746,824,38,55,955,952,103,93,559,687,69,47,735,898,25,22,879,1245,83,66,912,899,14,7
"CLUG_00647T0",35,25,31,24,97,88,50,56,32,66,37,48,147,31,33,41,353,217,36,48,195,123,35,36
"CLUG_00648T0",442,716,15,21,740,535,50,60,456,681,20,36,287,353,11,18,468,473,11,17,419,475,7,10
"CLUG_00649T0",1550,1233,151,174,2639,2592,276,221,1473,1883,224,219,1989,1796,239,222,2257,1801,366,532,1892,1675,250,265
"CLUG_00650T0",2828,2619,522,518,4609,4299,676,598,3019,3908,560,602,4236,4103,819,734,4102,3905,930,849,4567,4607,586,674
"CLUG_00651T0",914,804,97,112,1669,1651,98,180,834,1230,92,119,1059,1000,289,389,1212,1194,84,126,1178,1039,199,199
"CLUG_00652T0",818,834,98,123,3339,1846,347,230,748,1296,215,219,2354,2022,222,169,1611,1550,296,432,1542,1703,149,213
"CLUG_00653T0",1142,647,168,193,2166,1972,422,371,1162,1377,227,198,1489,1403,371,357,1623,1646,489,563,1449,1601,419,542
"CLUG_00654T0",1422,1075,257,312,4350,3789,300,564,2006,2742,378,430,1728,2058,662,942,2270,2235,728,717,2224,2324,697,763
"CLUG_00655T0",1447,1252,313,388,2893,2924,289,312,1672,2140,428,619,2250,1551,382,344,2172,1616,377,649,1893,1831,284,347
"CLUG_00656T0",1596,1233,778,994,2601,2847,1259,1299,1638,2209,1563,2226,2287,2686,705,658,2302,2322,1649,2124,2497,2745,2455,2915
"CLUG_00657T0",1155,782,1121,1506,1694,1854,1998,1799,1171,1287,1784,2141,1612,1398,1187,1250,1641,1852,1809,1981,1344,1319,1059,1107
"CLUG_00658T0",993,689,393,509,1570,1638,769,714,923,959,531,770,1270,1018,1298,1125,1088,960,671,1032,1261,1071,442,684
"CLUG_00659T0",3112,2462,1600,2633,4765,6866,3902,6813,3401,4991,2725,5715,4859,6102,2244,2444,5652,4941,3869,5470,6314,7194,13686,15308
"CLUG_00660T0",146,104,52,63,271,278,175,117,137,185,50,90,198,159,132,143,205,161,58,94,228,158,117,97
"CLUG_00661T0",300,274,175,151,742,749,298,355,371,482,211,279,478,404,388,403,518,386,152,186,516,423,340,298
"CLUG_00662T0",110,109,96,100,361,305,62,194,146,204,126,160,208,163,197,294,212,199,95,101,203,174,161,128
"CLUG_00663T0",308,163,336,431,625,728,928,779,341,526,336,549,627,528,880,678,615,533,342,605,530,521,715,851
"CLUG_00664T0",260,177,35,45,587,626,15,86,308,364,43,55,360,273,11,54,424,312,40,84,409,416,54,51
"CLUG_00665T0",326,197,26,33,464,518,58,77,262,344,45,50,259,314,7,28,386,364,50,63,383,325,23,28
"CLUG_00666T0",5915,5046,1952,2404,8579,9371,2739,3151,6966,7519,4046,6211,10771,11672,1523,1480,9783,9476,6175,7920,11426,11747,8110,8041
"CLUG_00667T0",4527,3423,1027,1375,6371,7429,1698,1709,4711,5167,1045,1348,4479,3780,768,1118,4774,4142,3280,4385,5286,5007,2630,3359
"CLUG_00668T0",325,296,918,1079,898,875,2810,3597,569,574,1088,1862,953,730,1623,1550,851,734,2395,3736,735,760,3432,3716
"CLUG_00669T0",3480,3335,627,693,6693,7537,1214,831,2986,3533,696,803,2199,1590,169,153,2539,2344,466,562,1907,1707,291,278
"CLUG_00670T0",1102,982,355,429,1729,1863,492,472,1099,1395,711,954,1969,1733,249,192,1792,1459,1253,1698,1624,1700,1291,1807
"CLUG_00671T0",851,635,303,396,1346,1469,623,614,883,1201,626,960,1784,1826,195,193,1406,1229,856,1335,1867,1878,1192,1507
"CLUG_00672T0",246,189,37,29,509,466,55,44,256,350,77,72,515,338,49,45,391,311,131,162,472,320,232,149
"CLUG_00673T0",2606,6662,184,225,7221,3927,294,349,3151,6392,297,326,4684,5353,82,89,4714,4492,199,284,3383,3722,64,77
"CLUG_00674T0",1184,1229,92,126,4060,3535,118,168,1531,2650,165,132,2652,2311,83,119,2932,2078,108,186,2331,2152,50,29
"CLUG_00675T0",57,64,25,37,274,226,30,69,125,206,30,56,229,205,48,43,207,155,65,160,162,168,34,42
"CLUG_00676T0",460,290,488,761,1336,1001,861,1417,1590,1402,1216,2449,3090,5207,1867,1380,2159,3137,2401,4614,1264,1837,1797,3412
"CLUG_00677T0",314,251,152,193,736,688,295,409,335,467,187,476,375,335,1015,771,500,369,88,205,423,421,251,305
"CLUG_00678T0",180,213,105,105,386,351,117,161,225,349,109,151,74,100,329,418,172,243,145,185,98,131,105,99
"CLUG_00679T0",41,45,95,82,62,72,97,194,36,61,96,219,15,25,823,593,32,34,35,48,27,17,105,143
"CLUG_00680T0",1993,1973,245,301,4393,4505,229,402,2400,3329,323,447,2785,2561,336,443,3203,2584,421,570,3432,2938,357,274
"CLUG_00681T0",536,264,325,457,984,1173,761,999,606,813,691,1151,953,669,362,382,1022,713,652,1073,1021,821,3541,3702
"CLUG_00682T0",1116,762,94,149,1634,1569,149,172,916,1183,173,150,1171,1292,89,124,1113,1115,356,418,1053,968,122,129
"CLUG_00683T0",2309,1790,195,241,1817,2265,323,246,2132,2248,267,236,1802,1116,216,150,1654,1180,135,195,1886,1900,164,118
"CLUG_00684T0",2504,2035,205,262,2332,2762,325,321,2259,2731,254,275,2102,1564,157,178,2052,1594,185,252,2370,2526,172,175
"CLUG_00685T0",518,390,62,79,825,642,87,141,538,767,70,108,304,311,93,123,440,464,97,127,535,564,68,73
"CLUG_00686T0",2316,2140,283,299,3577,3499,204,255,2974,3814,310,321,2234,2514,271,369,2653,3398,98,116,2914,4294,205,236
"CLUG_00687T0",489,349,530,432,1369,1360,1092,787,571,913,599,743,1578,1928,2142,1590,973,953,299,487,1097,1250,626,564
"CLUG_00688T0",1160,582,27,61,3188,2360,46,47,866,1352,53,39,1142,931,26,19,1148,972,18,57,1281,1294,12,11
"CLUG_00689T0",2968,2943,577,726,5538,5079,838,774,3290,4361,1516,1754,5570,4869,512,462,4411,3928,2340,2778,4836,4672,2871,3813
"CLUG_00690T0",2889,2150,395,519,5338,5450,776,596,2880,3823,663,633,5391,6369,1163,865,4002,3837,947,1585,4042,4282,911,1162
"CLUG_00691T0",3464,2842,381,429,9876,8772,494,743,4071,5986,635,615,3742,3023,534,439,4299,3700,455,559,3398,3375,307,355
"CLUG_00692T0",70,30,62,48,116,102,17,123,36,61,63,98,48,49,191,205,39,65,34,65,44,43,85,123
"CLUG_00693T0",224,114,195,211,190,306,46,60,119,153,87,68,127,156,31,139,160,262,55,32,196,180,33,37
"CLUG_00694T0",570,688,96,111,1452,1014,46,133,631,1195,75,94,543,623,195,287,807,857,75,77,597,740,128,164
"CLUG_00695T0",5693,5553,2390,2970,9618,10172,3325,2377,4679,5850,2267,2839,7092,4348,798,551,5443,4264,2917,4631,7264,6412,3985,3517
"CLUG_00696T0",67,48,802,677,128,92,1587,1781,65,93,713,1078,7,27,4763,4549,64,83,231,177,48,50,939,1469
"CLUG_00697T0",3351,1734,675,661,4366,4780,615,1240,4312,4552,720,875,1952,1605,2563,3348,3517,4117,278,261,1957,2326,726,1070
"CLUG_00698T0",1088,851,1372,1839,1975,2134,4083,3696,1239,1732,1678,2974,2797,1915,5292,3259,2213,1581,1918,3325,2085,2073,3610,4657
"CLUG_00699T0",73,2,2696,3386,2,8,6070,6976,7,7,2942,5597,5,71,9009,6835,16,107,2586,3383,3,13,5955,7002
"CLUG_00700T0",5833,2587,20883,25869,7336,11855,29123,41711,10116,5854,27647,39223,11223,8778,41046,37017,5497,4886,46978,65950,8577,8922,69312,67426
"CLUG_00701T0",0,0,8,31,0,0,18,3,0,1,7,11,2,0,5,115,0,0,15,11,1,1,9,12
"CLUG_00702T0",5301,1613,2665,4266,6311,11549,4748,6597,18004,8519,4713,6411,12330,7374,3495,4615,9204,8477,5399,8444,15907,14795,2683,3831
"CLUG_00703T0",298,198,102,158,552,650,279,225,462,467,219,397,574,426,44,21,564,353,206,420,592,584,542,573
"CLUG_00704T0",688,326,81,125,1390,1395,203,112,679,894,233,350,1532,1513,112,61,1272,1115,745,887,1248,1145,342,326
"CLUG_00705T0",1187,1120,82,116,2996,3145,87,124,1721,2306,101,115,1698,1452,63,70,1938,1393,108,167,1950,1744,54,66
"CLUG_00706T0",1306,890,147,231,2094,2016,223,223,1163,1551,250,276,1156,1306,105,83,1269,1643,383,424,1136,1145,104,178
"CLUG_00707T0",1458,1058,363,441,2147,2143,535,462,1344,1497,462,455,1859,1444,317,320,1525,1438,923,1097,1924,1557,630,476
"CLUG_00708T0",816,689,72,134,1383,1571,128,126,895,1102,111,116,806,552,87,139,918,771,123,171,986,858,61,74
"CLUG_00709T0",1453,1059,202,242,2892,3369,329,679,1768,2120,337,460,2527,2426,214,215,2755,2017,803,1153,2646,2765,897,874
"CLUG_00710T0",1677,1327,63,109,2244,2732,158,133,1735,1783,118,106,1812,1444,105,83,1906,1532,167,208,2418,2091,116,67
"CLUG_00711T0",815,728,77,112,1760,1628,133,161,857,1253,159,155,1474,1320,38,57,1404,1233,226,245,1148,1178,88,87
"CLUG_00712T0",1051,694,27,74,1704,1924,114,64,1199,1354,96,61,1024,759,89,46,1290,1046,30,40,1139,1079,36,23
"CLUG_00713T0",204,226,23,44,702,458,34,72,209,417,26,38,502,388,68,30,460,356,12,30,390,355,17,19
"CLUG_00714T0",267,222,19,14,343,434,36,35,210,280,50,18,342,291,15,36,319,313,45,49,309,313,19,19
"CLUG_00715T0",1667,1377,138,124,2476,2550,212,148,2409,2779,203,194,1280,844,245,169,2192,1976,85,108,1727,1724,89,104
"CLUG_00716T0",201,167,14,20,305,361,36,33,190,247,30,29,407,269,17,16,291,217,39,63,302,290,30,14
"CLUG_00717T0",300,206,19,35,544,587,21,36,352,421,34,43,455,404,11,16,429,386,12,16,456,487,11,10
"CLUG_00718T0",704,462,146,219,1004,951,213,153,688,800,254,286,879,757,103,73,926,878,651,689,945,820,358,292
"CLUG_00719T0",649,655,54,64,1160,1245,44,122,751,1104,74,100,927,783,51,62,1246,871,81,137,1466,1374,47,36
"CLUG_00720T0",834,745,80,139,1161,1126,55,69,894,1142,164,139,1237,1007,126,76,1072,779,330,457,1308,1276,604,421
"CLUG_00721T0",492,356,45,82,1264,1399,86,109,597,958,103,111,835,633,75,106,979,756,122,205,871,752,223,192
"CLUG_00722T0",443,305,84,102,1017,948,134,241,480,749,157,203,895,747,73,77,877,730,234,381,868,749,492,498
"CLUG_00723T0",6752,5465,1922,2648,8886,10161,2795,2860,9937,10224,4688,7242,8122,5611,1398,1175,7409,6591,3345,5535,6388,6952,3025,3346
"CLUG_00724T0",829,593,260,368,1690,1702,618,717,851,1303,382,642,1832,1765,521,454,1696,1459,880,1553,1518,1471,1125,1263
"CLUG_00725T0",102,91,20,29,258,283,41,52,156,208,16,48,265,196,55,35,296,159,9,31,297,209,28,22
"CLUG_00726T0",502,349,51,62,923,983,78,71,446,635,80,73,780,780,60,63,868,659,75,82,846,734,85,77
"CLUG_00727T0",996,567,175,170,2157,2961,163,180,1227,1327,208,180,1898,1684,146,124,2338,1722,47,90,2381,2268,137,68
"CLUG_00728T0",490,489,179,236,877,1017,356,304,475,723,359,455,2904,3653,408,348,1654,1551,682,1374,2136,2234,785,1060
"CLUG_00729T0",2100,1944,280,405,3610,5230,442,479,2730,2841,377,425,1963,1266,186,167,2694,2197,173,229,2745,2756,109,137
"CLUG_00730T0",926,766,88,79,1982,1916,135,138,1012,1426,116,144,1606,1285,27,77,1403,1203,219,422,1430,1301,224,231
"CLUG_00731T0",841,642,79,107,1965,1913,203,179,1071,1450,142,166,1776,1345,113,142,1751,1237,210,375,1498,1336,200,195
"CLUG_00732T0",168,140,8,9,829,707,7,10,287,388,31,16,367,271,9,8,414,261,24,20,334,226,2,0
"CLUG_00733T0",1222,893,39,73,3157,2924,82,86,1293,1904,82,97,1855,1820,40,34,1996,1471,113,173,1710,1378,34,29
"CLUG_00734T0",853,548,288,384,2234,2042,677,681,1811,1750,785,1117,3791,6769,349,253,2598,3323,1107,2020,1581,2266,505,923
"CLUG_00735T0",8232,6819,1854,2485,13993,14193,2876,3132,8232,10282,3906,5300,14032,10686,1351,1478,11558,9453,6254,7327,10929,9433,3182,3066
"CLUG_00736T0",317,238,83,119,703,749,83,240,377,494,82,147,351,229,250,187,434,330,133,215,384,300,345,125
"CLUG_00737T0",861,786,84,130,1388,1448,149,158,971,1246,117,181,1003,738,180,190,959,639,344,449,933,787,516,313
"CLUG_00738T0",1000,604,258,283,1266,1200,175,211,878,1086,201,252,675,623,181,320,734,1146,561,394,743,816,488,197
"CLUG_00739T0",1033,850,92,116,1582,1691,125,121,1064,1236,136,113,1217,1257,53,87,1219,1279,153,123,1246,1341,53,38
"CLUG_00740T0",2678,3460,140,217,5571,4107,139,175,3612,4950,138,137,4122,2754,207,158,3761,2547,423,303,3529,3355,152,142
"CLUG_00741T0",26433,26032,3088,3280,30461,26279,2255,2025,25998,28668,3498,3073,23837,17640,1803,2123,22997,16248,13843,15293,22224,21206,12667,5927
"CLUG_00742T0",2356,2099,147,195,4212,3499,208,236,2556,3295,241,252,3477,3219,93,99,3220,2976,302,374,2926,3041,116,86
"CLUG_00743T0",565.320402459651,261.549715833832,29,46.2710306812368,1383.67635491505,1516.17643430075,18,76,662.02234191574,897.123088627171,50,68,1166.82081879342,1341.70771251615,131,135.287454512435,1221.71568003979,861.1544847349,186.561175796036,173,1167.58307368019,1081.6103147361,67.2011332042546,40.1441396242928
"CLUG_00744T0",1412.67959754035,518.450284166168,69,92.7289693187632,2081.32364508495,2385.82356569925,185,211,1217.97765808426,1561.87691137283,108,126,1968.17918120658,2335.29228748385,333,242.712545487565,2108.28431996021,1587.8455152651,603.438824203964,657,1887.41692631981,1975.3896852639,196.798866795745,173.855860375707
"CLUG_00745T0",218,188,42,34,631,590,55,50,241,382,42,41,726,564,20,44,663,447,118,233,639,545,119,119
"CLUG_00746T0",295,155,161,200,502,601,555,445,288,354,144,244,460,278,374,330,376,297,346,469,413,386,446,441
"CLUG_00747T0",237,120,65,88,361,450,167,147,217,228,102,130,320,245,18,40,248,228,118,141,358,286,298,220
"CLUG_00748T0",309,217,76,119,861,813,148,177,319,579,114,126,618,619,130,172,732,572,153,275,759,702,136,203
"CLUG_00749T0",2789,1984,309,382,4247,4145,378,300,2484,3301,666,777,2350,2126,193,265,3251,2662,1242,1210,2466,2226,351,293
"CLUG_00750T0",892,1067,1153,1283,1472,1419,280,219,687,935,507,347,1055,865,147,220,1060,871,1465,1547,1042,972,199,155
"CLUG_00751T0",1912.1175080793,1054.803405159,381.794296645166,533.798013816068,1748.90107538374,2188.00358781292,511.016851337341,449.658875760363,1093.69659492893,1403.39895319219,539.6213500261,604.473395097078,3654.59371361072,4317.71966618008,371.31518202382,386.906660781777,2824.94468117227,3042.98603971795,989.139126581568,1075.73829656563,1788.98936207139,1904.17129336699,773.529094262979,1228.6820553325
"CLUG_00752T0",1174,714,88,115,1306,1383,224,239,929,1060,92,164,1016,744,342,262,949,888,137,173,1275,1176,97,120
"CLUG_00753T0",1079,772,569,704,2481,2067,894,957,1370,1917,1219,1774,2132,2187,752,591,1950,1865,2230,2924,2124,2218,1836,2516
"CLUG_00754T0",1584,1545,1415,1837,2159,2562,2227,1558,1942,2059,1762,2159,2745,2131,1326,1019,2155,1795,1345,1979,2281,2482,2243,2069
"CLUG_00755T0",2693,2460,154,177,3245,4406,263,223,3577,3704,195,242,2522,1837,235,254,2985,2603,566,688,2970,3351,333,427
"CLUG_00756T0",999,945,133,173,2097,2311,244,319,1263,1658,241,327,1978,1410,142,123,2112,1423,353,583,1790,1640,589,526
"CLUG_00757T0",21124,21209,3780,4765,40404,34030,5118,5871,24079,31855,5603,7248,21278,20484,3453,4754,24324,18962,15632,15297,23752,22733,15612,5419
"CLUG_00758T0",5092,4118,300,409,8080,8016,432,665,5086,5973,478,397,5466,4135,456,523,5460,4615,195,249,6472,5531,129,136
"CLUG_00759T0",1348,1119,499,474,2625,2545,1507,1237,1445,1978,457,584,2321,2097,1603,1470,1908,1715,663,583,1993,1935,1800,793
"CLUG_00760T0",260,140,20,42,925,815,44,127,247,408,20,72,758,910,129,164,648,544,11,33,679,616,31,41
"CLUG_00761T0",3149,2112.42586793419,1291,2222,4649,6018.61870051337,4037,5041.67927839883,2927.7122555895,4486.93061366281,2678,5509.69096275235,7069.34265978472,7484.60250792297,2138,1662.72168461012,6285.45032358478,5777,3155.92100215338,4731,7184.7485180716,7573.55678267814,9953.43532429936,12622.6407555963
"CLUG_00762T0",5758,2899,129,229,17321,27219,485,449,11468,15567,412,285,3360,3937,192,166,9521,18082,95,165,7985,12162,69,41
"CLUG_00763T0",35,15,65,72,17,204,281,497,78,19,80,176,30,0,182,140,17,55,60,86,85,143,89,86
"CLUG_00764T0",1046,807,228,294,1494,1484,257,183,808,1005,607,695,1453,1335,103,130,1249,1144,1044,1072,1376,1187,842,897
"CLUG_00765T0",556,367,37,51,955,1070,60,49,514,619,80,53,760,711,19,24,759,622,111,140,806,712,36,47
"CLUG_00766T0",763,295,25,40,1517,1728,55,45,849,1064,90,38,1572,1364,20,24,1602,1176,173,207,1300,1145,156,100
"CLUG_00767T0",572,255,18,24,1187,1320,42,43,662,862,56,17,1269,1069,15,18,1053,708,79,130,1103,966,21,14
"CLUG_00768T0",397,323,9,24,527,597,34,15,402,465,17,14,311,365,6,4,234,216,60,47,293,410,10,6
"CLUG_00769T0",1001,827,44,67,3341,2893,97,99,1427,2180,85,49,2457,2051,19,33,2561,1755,30,81,2418,2286,24,29
"CLUG_00770T0",568,324,17,21,1111,957,38,28,476,682,26,29,685,514,15,9,700,615,2,15,740,764,9,9
"CLUG_00771T0",1239,755,89,91,1682,2085,212,326,959,1297,121,137,917,899,396,324,917,766,171,151,1030,1183,591,507
"CLUG_00772T0",5435,5550,3435,3645,6252,8606,7320,6147,5122,4869,4423,4978,6043,3597,1112,1067,6153,4618,3998,3738,6539,6559,4991,2628
"CLUG_00773T0",30,29,27,31,58,47,45,72,34,52,23,22,30,19,5,18,24,23,295,226,28,22,73,42
"CLUG_00774T0",311,281,66,101,583,578,165,165,282,391,101,179,470,413,75,69,433,380,389,512,419,373,440,419
"CLUG_00775T0",588,478,48,53,1125,1056,101,135,486,759,66,68,843,721,20,24,816,700,118,143,819,798,65,61
"CLUG_00776T0",1522,1541,130,166,2408,2278,96,159,1772,2111,197,194,2590,2006,59,87,2301,1596,404,626,2940,2831,311,315
"CLUG_00777T0",421,373,321,381,830,783,378,554,424,490,504,731,809,635,581,552,685,538,607,693,790,655,764,641
"CLUG_00778T0",14,2,16,21,13,4,2,6,5,4,6,10,3,10,1,27,4,15,28,31,3,2,15,16
"CLUG_00779T0",3311,2475,345,583,6639,6205,726,905,3298,4663,724,1230,6782,6647,898,1144,6630,5670,1125,1400,6213,5381,485,540
"CLUG_00780T0",1320,925,365,570,2055,2172,873,1255,1144,1450,548,1355,1823,1731,637,803,1598,1752,613,818,1889,1801,495,619
"CLUG_00781T0",652,617,86,91,1337,1226,122,142,684,917,87,113,1386,1039,37,66,1084,833,51,73,1307,1178,33,22
"CLUG_00782T0",771,698,307,452,1780,1808,402,1219,894,1181,584,1543,1304,1185,596,935,1415,1051,376,645,1337,1186,438,483
"CLUG_00783T0",2976,1119,4500,6126,3776,4863,5604,6212,4703,3396,7696,10121,4273,3400,2834,3613,3804,4306,6707,9177,3839,4219,5040,5236
"CLUG_00784T0",1134,696,43,85,2022,2005,128,142,1055,1402,85,76,1084,1125,33,53,1283,1172,44,67,1214,1242,29,30
"CLUG_00785T0",76,43,22,36,104,136,69,92,98,72,30,49,129,236,19,24,91,120,107,170,103,89,32,40
"CLUG_00786T0",97,323,67,96,755,180,123,163,68,354,122,178,788,2671,179,94,827,1190,164,663,433,729,238,871
"CLUG_00787T0",2175,1351,611,986,3522,3662,761,863,3119,3081,1110,1730,3705,3099,515,550,3223,3107,1286,1510,3500,3410,993,1055
"CLUG_00788T0",3269,1559,813,979,6346,7082,907,899,3624,4634,1504,1745,6500,5510,980,996,5787,4166,3292,3372,5485,5262,1305,1158
"CLUG_00789T0",1265,1432,146,193,2949,2707,209,299,1518,2219,222,232,2393,2345,215,282,2136,1674,327,525,2279,1894,293,315
"CLUG_00790T0",4403,4281,992,1365,7275,8409,1716,1656,5236,6133,1762,2324,6675,6282,1767,1301,6720,5233,4427,6271,6973,6730,7607,9122
"CLUG_00791T0",410,258,1908,2541,802,1127,2933,3316,606,656,2126,3200,485,1131,6233,4615,580,574,5176,7447,203,335,11798,12475
"CLUG_00792T0",20,6,32,50,26,28,66,122,12,7,35,29,7,10,354,393,6,11,18,13,6,1,66,103
"CLUG_00793T0",409,286,32,63,699,669,73,46,400,503,86,72,431,403,21,38,446,376,148,214,438,441,60,73
"CLUG_00794T0",115,124,8,9,268,309,12,16,173,200,25,10,229,214,11,13,253,203,11,15,257,265,4,4
"CLUG_00795T0",49,54,8,1,91,92,13,6,63,81,13,11,57,53,23,19,69,44,2,5,46,72,7,13
"CLUG_00796T0",1085,749,34,76,2511,2469,168,106,1460,1909,132,58,2441,1715,79,42,1858,1191,97,168,1600,1790,68,50
"CLUG_00797T0",308,224,18,34,717,671,69,66,320,451,49,36,575,486,17,16,523,429,122,172,614,537,65,58
"CLUG_00798T0",1032,730,56,71,3089,2722,122,95,1133,1922,96,79,2241,1760,62,68,2419,1597,90,197,2214,1820,57,43
"CLUG_00799T0",474,470,64,86,1237,1107,59,116,523,872,82,112,884,748,40,33,887,729,106,165,866,763,59,89
"CLUG_00800T0",822,604,138,181,1416,1488,185,179,707,1069,173,268,2552,3374,261,173,1711,1767,391,797,1770,1814,437,399
"CLUG_00801T0",5881,4762,299,398,13025,13202,395,461,7161,9253,475,400,8004,8140,79,117,8636,6484,706,755,8100,7724,177,151
"CLUG_00802T0",1752,1635,79,121,4061,3679,119,154,2070,2928,143,119,3390,3129,81,61,3141,2226,119,222,3156,2750,122,56
"CLUG_00803T0",482,450,44,79,1072,1077,131,137,545,822,158,142,1050,956,70,44,872,816,373,506,974,868,401,369
"CLUG_00804T0",462,486,50,71,1182,1017,142,117,416,634,124,131,442,308,22,26,469,422,94,127,420,345,69,49
"CLUG_00805T0",8815,5153,310,409,8522,10554,457,409,9467,9227,655,361,10903,7883,87,161,10770,7494,1413,1275,10674,10170,396,305
"CLUG_00806T0",598,424,34,65,997,1090,86,73,594,815,67,52,1119,893,21,11,1004,821,140,148,1058,933,109,107
"CLUG_00807T0",733,432,27,48,1158,1295,64,47,756,923,48,39,965,745,13,22,992,806,40,58,938,850,23,19
"CLUG_00808T0",3357,2766,150,200,5446,5392,178,198,3162,4021,256,165,5230,4341,57,70,5230,4479,551,736,5179,4446,169,104
"CLUG_00809T0",1094,653,397,566,1423,1784,839,1286,982,1140,425,646,1140,913,943,916,1213,1116,954,1458,1463,1257,647,748
"CLUG_00810T0",482,361,25,75,1030,987,61,78,546,708,56,47,509,377,26,78,565,417,48,62,293,252,5,10
"CLUG_00811T0",150,386,144,182,565,328,288,267,138,384,175,197,505,967,99,147,557,491,494,640,512,488,311,270
"CLUG_00812T0",114,59,49,46,241,244,81,110,111,158,41,79,307,386,178,192,220,204,32,31,214,220,87,87
"CLUG_00813T0",14,0,13,13,0,1,0,1,0,3,1,2,0,20,1,61,0,8,9,0,0,0,1,8
"CLUG_00814T0",731,611,297,391,1423,1652,765,741,834,1089,621,1095,1366,1197,477,477,1340,1064,706,1256,1410,1330,1711,1847
"CLUG_00815T0",554,366,557,710,1063,1165,1529,1287,540,800,803,1452,1200,914,961,667,1072,881,909,1524,1230,1175,2686,2376
"CLUG_00816T0",404,324,67,71,870,830,120,126,442,632,93,75,1034,814,123,108,1023,793,35,51,1196,1057,44,42
"CLUG_00817T0",7899,7899,619,775,13982,14027,961,1002,9709,12540,1226,1158,10459,7927,875,866,11518,8554,2411,3030,10045,9372,909,805
"CLUG_00818T0",686,546,347,438,1391,1503,811,852,681,1021,658,1104,1188,1129,248,229,1231,1028,1282,2051,1247,1114,2557,2537
"CLUG_00819T0",852,573,136,135,1598,1590,234,266,705,1035,167,170,1129,1018,231,189,1148,925,211,338,1012,871,225,172
"CLUG_00820T0",2035,1172,256,427,3067,4608,269,467,2152,2100,310,655,2640,1280,352,348,2079,1407,609,789,1778,1582,653,399
"CLUG_00821T0",1115,597,83,108,1727,1868,101,100,1478,1632,108,104,948,668,145,183,1581,1291,79,86,883,827,65,57
"CLUG_00822T0",1084,1889,153,214,2148,1886,169,208,918,1435,192,197,1720,1731,284,284,2203,1703,455,692,2003,1549,226,269
"CLUG_00823T0",1505,2621,680,810,1960,1617,631,472,909,1175,837,865,1609,1438,572,603,1732,1624,1942,2145,2964,2149,973,917
"CLUG_00824T0",46232.6804624997,43927,1740,2280,52011,53204,2376,2181,51543.6291262156,50078,3300,2630,30394,17948,944,634,26105,19697,2079,2684,40272.0317573712,30961,761,447
"CLUG_00825T0",55,30,21,21,45,84,11,18,61,39,30,24,70,27,18,26,44,32,20,40,69,63,23,19
"CLUG_00826T0",5142,4332,497,709,11937,11232,812,906,5914,8253,1160,1089,7521,7691,321,394,7459,6999,963,1226,6008,6139,244,191
"CLUG_00827T0",1156,689,592,746,1937,2581,1363,1471,1056,1784,1002,1618,1840,1755,995,803,2218,1886,1196,2212,2369,2358,3022,2926
"CLUG_00828T0",29,2,46,54,1,2,37,30,1,0,16,19,0,32,40,66,1,36,68,45,1,3,23,59
"CLUG_00829T0",103,34,33,49,146,219,75,74,102,117,58,69,146,170,86,85,151,132,82,98,196,193,88,78
"CLUG_00830T0",106,93,11,5,213,265,14,27,198,206,30,31,226,146,14,17,250,168,16,39,230,194,10,9
"CLUG_00831T0",10019,11653,810,1292,18331,15200,1209,1268,9114,12930,1449,1274,7962,6270,477,429,7124,7228,1863,2063,7499,7283,1116,1051
"CLUG_00832T0",1943,2421,134,234,3772,3575,252,261,2186,2965,190,129,3536,2725,161,314,3207,2377,147,312,3732,3542,104,121
"CLUG_00833T0",257,238,349,296,615,520,583,782,302,405,357,363,627,497,1066,949,475,439,153,225,599,590,253,406
"CLUG_00834T0",950,672,100,127,2743,2422,52,103,1043,1658,59,54,1629,1437,8,185,2041,1404,76,67,1835,1556,30,38
"CLUG_00835T0",5296,4300,858,1006,9856,10045,1534,1655,5950,7055,929,1058,7303,6355,984,1436,6917,6195,1216,1464,9375,8706,778,1044
"CLUG_00836T0",280,180,67,72,450,436,180,148,235,321,85,61,258,301,145,127,258,316,66,71,317,333,49,55
"CLUG_00837T0",746,648,78,75,1496,1537,36,62,807,1144,66,68,1018,889,35,138,948,819,103,136,1006,862,36,37
