,DHED1.r1,DHED10.r1,DHED11.r1,DHED12.r1,DHED13.r1,DHED14.r1,DHED15.r1,DHED16.r1,DHED17.r1,DHED18.r1,DHED19.r1,DHED2.r1,DHED20.r1,DHED21.r1,DHED22.r1,DHED23.r1,DHED24.r1,DHED3.r1,DHED4.r1,DHED5.r1,DHED6.r1,DHED7.r1,DHED8.r1,DHED9.r1
CLUG_01076,1583,598,2646,817,1761,219,1150,229,4085,240,3715,392,373,3528,464,2698,419,2051,352,3166,274,3027,259,3277
CLUG_01077,8652,6306,18181,10697,9649,2054,6975,2842,29616,1355,29318,3795,973,32633,8181,30975,8882,10542,4865,11949,4937,12896,3804,21143
CLUG_01070,1354,2279,2042,3169,1289,1591,933,1792,3318,2267,2948,1593,2015,3194,2640,3116,2569,1732,1902,1704,2124,1970,1409,2428
CLUG_01071,558,722,420,1084,440,1066,295,1066,399,2212,288,1005,2218,514,1252,567,1236,538,1203,1088,1158,1152,1103,490
CLUG_01072,656,145,746,173,778,220,453,185,1221,327,1001,321,523,885,125,933,208,796,244,1432,251,1335,291,855
CLUG_01073,913,559,1660,1083,989,940,607,965,1640,3152,1595,899,2415,1822,1844,1839,1847,1524,1363,1654,2096,1974,1285,1791
CLUG_01078,7365,6163,8729,6301,9212,2367,8113,3048,10174,915,8977,2604,920,12618,2439,11099,2040,8120,2793,9520,1466,10448,1646,9421
CLUG_01079,1217,341,1730,373,1399,232,1045,238,2252,401,2021,185,467,2171,243,1969,172,1506,264,1998,380,2144,380,1970
CLUG_01388,5402,4405,4055,4145,3852,1081,4345,1241,4044,640,3568,1237,925,6239,1603,5342,1415,6645,1030,8381,1340,9078,2215,5125
CLUG_01389,2226,1205,1844,1175,1243,362,1658,354,1363,399,1343,411,572,2563,401,1932,374,2799,338,3870,253,3918,656,2328
CLUG_01386,182,542,468,670,204,279,215,302,923,314,940,281,370,453,440,470,499,346,326,465,512,431,591,502
CLUG_05665,1363,888,2214,1002,1654,230,1505,341,2529,68,2147,332,100,2486,540,2310,480,1855,392,2771,170,2616,271,2293
CLUG_01384,365,130,498,121,392,135,264,109,466,219,532,192,347,435,175,481,148,428,138,620,126,592,207,399
CLUG_01385,254,342,827,305,294,319,175,320,809,448,918,254,635,611,307,568,371,528,339,908,583,652,560,705
CLUG_01382,1542,250,2431,400,1757,322,1046,292,2395,632,2362,298,713,2514,316,2492,446,2404,306,3598,467,3283,517,2630
CLUG_01383,18198,28576,20108,31845,11197,17103,6036,23085,18292,18541,17910,26266,24207,15359,13584,17278,17280,14654,44434,14619,20657,17690,23075,16224
CLUG_01380,2708,1114,3506,1133,3165,221,2632,384,3538,140,3128,577,228,3577,443,3192,573,3822,775,4097,420,3861,370,3744
CLUG_01381,7267,2389,8529,2537,6683,521,6376,908,9561,675,8942,1554,742,9818,1276,8609,1210,10667,1996,11083,824,9703,867,9385
CLUG_00671,1424,1692,2243,2154,1564,627,1029,757,2866,297,3333,1088,429,3072,1967,3139,2554,1947,1653,2185,1034,2391,1080,2282
CLUG_00670,2116,2629,3012,3242,2295,755,1852,966,3714,485,3510,1389,401,3083,2466,3238,3511,2639,1851,3290,965,3546,910,3434
CLUG_00905,1581,265,1901,336,1672,139,899,205,2168,177,2151,212,225,2111,261,1982,226,2318,215,3422,190,3007,263,2202
CLUG_05669,1793,1057,2654,959,1994,423,1352,446,3488,192,3135,497,201,3304,1154,2716,1043,2527,601,3608,419,3804,384,3241
CLUG_00904,169,61,345,70,166,81,131,68,447,70,299,90,117,301,89,348,62,375,149,717,75,604,135,434
CLUG_00675,234,140,304,303,108,152,117,196,421,474,373,205,408,301,253,315,208,386,216,486,144,423,244,391
CLUG_00674,2894,252,4158,351,2389,405,2323,438,5076,426,4528,479,832,4496,352,4085,235,5090,509,7793,258,6757,449,5576
CLUG_00901,3288,725,4144,1126,2823,345,2095,516,5268,369,5111,544,420,5670,714,5111,731,4576,771,6547,443,6613,540,5429
CLUG_00900,170,83,286,109,198,22,106,45,380,34,346,30,59,320,26,283,4,272,48,509,34,423,42,429
CLUG_00659,6357,7929,9612,10526,6147,4169,4607,6170,9166,6710,11783,6077,8195,11725,27639,13473,30684,9261,12144,8851,8135,12833,14404,10501
CLUG_00658,1600,1469,1751,2002,1832,1325,1132,1402,2103,3708,1853,1403,3834,2149,2137,1844,2542,1600,2024,2632,2746,2744,2337,1823
CLUG_00653,1939,866,2930,885,2008,288,1089,363,2545,536,2499,388,659,2419,685,2656,878,2311,338,3639,650,3269,633,2663
CLUG_00652,886,434,2144,486,1178,141,1046,198,2831,301,2801,280,253,1893,174,2125,294,1534,281,4226,454,2186,309,1925
CLUG_00651,1209,126,1822,177,1442,169,1217,163,1528,442,1526,150,580,1751,265,1558,302,1760,192,2468,130,2444,251,1756
CLUG_00650,5409,1712,7320,1472,5321,994,4546,1046,7513,1401,7529,985,1458,8019,1036,8073,1201,6932,1070,8152,1167,7661,1043,7232
CLUG_00657,1918,3294,3233,3072,2020,2150,1299,2821,2642,2248,2385,2925,2538,2121,1890,2140,2035,2048,3404,2786,3426,3007,3120,2668
CLUG_00656,2908,3315,4605,3722,3176,1638,2196,2147,3970,1545,5193,2842,1746,4353,4430,4886,5366,3888,4012,4610,2335,5078,2454,4035
CLUG_00655,3162,766,3243,1208,2915,723,2347,842,4134,997,3067,857,1195,3512,689,3364,862,3964,1211,5336,573,5455,707,4069
CLUG_00654,3806,1409,4290,1331,2817,519,2000,629,3211,1287,3941,688,1910,4183,1299,4353,1429,5155,827,8065,552,7058,1043,4189
CLUG_00385,1887,1001,2233,1044,2000,1131,1300,1324,2643,4702,2409,1466,4115,2678,4477,2399,5383,2224,2301,2834,2112,2681,2759,2708
CLUG_00384,2790,2312,2750,2445,2730,2373,1962,2699,3010,5934,2527,2859,6166,3161,7216,2966,8839,3901,5542,3894,5049,4017,8097,2921
CLUG_00387,2832,561,2900,710,2602,418,2054,445,3914,439,3151,520,908,3712,407,3540,340,3344,525,4872,372,5161,735,3800
CLUG_00386,7089,2113,8494,2655,6478,1675,3489,2173,14508,4873,11167,2295,3194,13227,4468,12303,4674,8671,3203,10737,4747,10706,3966,11176
CLUG_00381,30268,70455,24868,66036,29122,65874,16475,75527,22540,13520,19202,68669,18694,15046,60473,20409,70165,25826,57727,27216,90379,50244,54489,24832
CLUG_00380,16816,30472,12333,33657,13991,31386,10272,36877,14322,9660,10266,47772,9025,9964,46297,12600,37218,13929,39215,14360,37422,29383,41839,14307
CLUG_00383,132,1166,190,1092,162,1215,115,1429,145,2653,147,1217,3810,162,3815,215,4115,152,2390,146,997,172,3029,136
CLUG_00382,1122,1472,1631,1408,1292,1574,1004,1931,1696,3560,1582,2037,4406,1418,5163,1386,5092,1487,3498,1988,1640,1951,3793,1494
CLUG_00389,2306,928,3162,1203,2252,412,2343,569,3346,357,3071,445,686,2863,804,3073,583,2798,554,3162,432,3570,637,3327
CLUG_00388,771,442,1377,880,659,176,561,244,2313,438,2274,328,400,1881,462,1878,481,918,342,1326,287,1444,229,1442
CLUG_01928,1357,135,1484,200,1491,318,1003,293,1824,841,1409,265,1086,1988,336,1796,377,1637,390,2452,296,2296,475,1498
CLUG_01929,1063,470,1567,573,1366,321,834,482,1548,1263,1479,335,887,1714,545,1633,651,1268,657,1536,429,1607,534,1654
CLUG_01922,4146,687,4594,997,3392,325,2978,365,3457,342,2481,443,450,3868,323,3926,327,4855,673,4327,604,4690,611,5147
CLUG_01923,3708,872,5297,970,4298,446,3982,581,5275,652,5200,641,772,5292,436,4992,469,5366,562,6618,397,6220,653,5585
CLUG_01920,642,560,1484,928,858,2297,582,2152,2410,6388,2781,1786,5304,1844,1570,1715,2119,1076,1493,1521,2426,1522,1599,1694
CLUG_01921,1387,397,1902,429,1553,222,980,255,2677,317,2292,253,679,2243,343,1869,319,1807,266,3046,274,3067,326,2265
CLUG_01926,3376,1748,4324,2502,3142,645,1807,828,6267,1591,5273,1145,1836,5088,1311,4583,1349,4158,1533,5274,1406,4954,1239,5397
CLUG_01927,1591,1064,2601,1760,1631,637,925,827,2924,1042,2449,959,1121,3144,3829,2749,3802,2484,1836,2679,1065,3463,1239,3013
CLUG_01924,1452,2098,1795,3088,1515,806,1036,1038,2352,830,2088,1197,1096,1652,1457,1788,1674,1523,1531,1864,1299,2077,1280,1579
CLUG_01925,879,1326,340,2256,782,847,310,1292,463,2210,865,1247,3104,639,1344,823,1551,1236,1892,1467,1592,1400,2838,482
CLUG_00039,1023,127,1359,121,1059,117,751,162,1760,294,1719,135,336,1560,95,1438,46,1440,131,2443,159,2085,130,1577
CLUG_00038,1309,171,1221,227,963,92,543,134,1321,470,1953,179,394,578,145,962,156,1102,164,1044,162,986,189,1175
CLUG_00037,2094,277,1700,305,1844,128,1358,224,2186,130,1733,273,282,2060,127,2060,161,2415,215,2924,255,3203,257,2325
CLUG_00036,3832,427,3572,597,3972,598,2457,612,3088,1694,2593,526,1971,4318,367,3727,443,4593,745,6311,945,7494,1238,3865
CLUG_00035,5231,1148,4711,1399,5531,383,4071,475,5300,466,4455,517,638,6143,552,5349,485,5520,476,7169,414,8279,564,5736
CLUG_00034,33034,9674,22280,9203,44395,14006,28464,15868,18885,15036,12191,12495,22179,40037,5413,36968,6003,26190,12113,36564,12124,49210,13396,23745
CLUG_00033,770,859,740,803,706,3044,469,3045,710,4243,530,2188,6810,832,779,827,1078,615,2848,777,2951,1021,3433,803
CLUG_00032,5962,1168,7301,1016,5133,8274,4596,8130,5306,9019,5271,4930,17580,7177,1186,9805,1821,6146,5765,4614,4756,6821,7302,7034
CLUG_00031,382,318,376,288,317,2972,360,3044,456,5780,314,2231,5794,859,581,949,547,354,2550,301,5018,457,3520,476
CLUG_00030,12474,18132,28213,23406,15950,6456,9420,7646,39879,6106,45184,10377,4846,40925,30629,39801,36502,15297,16291,17325,13381,18469,9585,28788
CLUG_04292,1291,904,4275,1941,1471,638,1203,608,7313,1608,8524,704,1387,4704,639,5005,974,2103,747,2440,933,2785,883,3912
CLUG_02862,262,865,257,946,175,346,199,629,306,465,211,446,328,355,386,325,305,329,899,385,868,364,694,312
CLUG_03494,15774,7662,9622,7680,15731,5252,16513,7108,10708,10338,13912,5084,11523,17115,5744,16941,7705,17015,6199,38745,6559,39170,7483,11555
CLUG_02860,401,226,612,238,467,102,347,114,714,102,582,141,102,621,162,611,168,594,291,738,300,871,368,645
CLUG_02861,721,1641,1407,2392,774,718,542,970,1618,371,1725,1153,357,1735,4541,1830,4755,1324,1924,1282,2114,1553,2127,1773
CLUG_02866,185,198,427,270,177,111,136,137,659,109,719,206,113,577,103,605,133,327,297,461,232,483,290,483
CLUG_02867,861,589,1170,1540,879,180,606,177,2380,576,1927,267,248,1742,1169,1916,1679,1105,425,1333,389,1414,232,1672
CLUG_02864,33984,46245,35826,58875,26466,26913,23717,34087,45720,14854,34158,48608,12367,38613,35077,37853,42572,39119,65432,39325,32472,44906,33513,43698
CLUG_02865,1553,1073,2310,1112,1734,268,743,312,2998,246,2919,455,154,2281,305,2090,318,1952,496,3077,548,3228,756,2846
CLUG_02718,9314,860,7155,1289,7479,2187,5626,2730,7260,1155,5018,3325,1317,7492,526,7380,588,11115,3714,13577,2752,15046,3193,7400
CLUG_00536,635,179,1075,166,701,275,306,285,1347,781,1139,315,868,1096,279,942,245,766,312,1175,179,1255,298,1174
CLUG_02868,4083,2248,4995,3511,3855,752,3974,1055,6190,626,5679,1087,623,7052,2539,6678,2305,5799,1597,6359,655,6264,918,6172
CLUG_02869,823,298,1224,383,1013,133,595,160,1383,123,1322,168,143,1256,208,1211,155,1133,220,1769,201,1557,183,1325
CLUG_03496,8892,5102,10033,6330,8644,4198,7682,5528,12798,12375,11522,4443,14385,11397,10716,10160,12595,10883,6658,13226,6425,13123,9934,11988
CLUG_03365,52,22,107,16,46,11,0,16,0,12,69,28,63,106,20,94,10,136,24,123,16,162,47,100
CLUG_03362,2,1,0,2,2,0,0,0,0,0,0,0,0,0,10,39,0,40,14,61,0,1,9,1
CLUG_03363,1026,424,1732,491,973,229,721,247,2710,197,2423,235,294,1389,190,1463,216,1234,341,1611,288,1817,335,1750
CLUG_03403,785,713,2086,869,995,305,700,315,2407,477,3477,259,540,1831,492,1745,629,1163,409,1622,363,1624,504,1616
CLUG_03402,2406,708,2714,684,3248,188,2978,275,2614,255,2065,270,425,2719,191,2446,230,3791,396,4684,179,4035,386,2940
CLUG_03401,4922,2560,7687,3279,4610,1339,4052,1686,11538,1501,10457,1515,1967,8322,2639,8228,3117,8461,1420,11977,2501,9208,3198,10014
CLUG_03400,1137,2033,2228,1867,1216,1017,442,1159,1387,1731,1567,938,2601,1244,1264,1464,1635,1757,1386,2194,2023,1994,2591,1664
CLUG_03407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLUG_03406,2222,1099,1357,1067,1060,831,1304,648,935,888,885,995,1861,1496,499,1598,379,2356,911,2729,395,3604,1070,1896
CLUG_03405,467,153,91,150,93,432,60,335,14,1415,28,400,1733,214,398,326,450,177,579,104,1001,376,1149,53
CLUG_03404,1547,1416,2250,1487,1677,311,1055,513,3646,616,3107,551,641,2417,1174,2732,967,2218,1020,3577,528,3171,674,2545
CLUG_03409,6,5,5,8,7,3,5,4,8,7,3,3,5,6,6,4,4,4,5,6,3,6,4,12
CLUG_03493,2934,1952,4156,2113,3099,988,1853,1376,4032,851,3055,1265,642,4387,907,4060,946,3298,1306,4523,1696,5815,1436,4097
CLUG_05405,3624,1497,3996,1345,4366,307,2853,455,4045,221,3611,495,262,5366,510,4588,332,4279,426,5118,475,5164,419,3621
CLUG_02364,1253,833,1696,885,1305,311,979,353,1614,458,1794,267,616,1542,392,1538,341,1643,285,2071,218,1792,275,1519
CLUG_05407,3,52,2,21,15,62,0,60,0,1072,0,108,639,0,734,0,635,18,304,5,428,3,550,12
CLUG_02366,3128,8945,3711,11169,3045,2072,2750,2974,4390,2574,3907,1909,3504,4000,6802,4315,8258,4168,3471,5881,3487,5983,6094,4135
CLUG_05401,675,2924,1360,2190,637,1633,401,1922,730,3192,1053,1001,6702,1504,2946,1593,3733,836,2012,890,1870,1121,2498,1097
CLUG_02360,1624,175,341,188,999,164,964,110,272,326,339,70,401,681,235,870,151,1966,467,711,96,579,144,415
CLUG_05403,6067,517,4703,515,6319,175,8541,243,4246,341,4387,195,490,5519,243,5423,250,8719,284,9715,296,6611,404,5280
CLUG_05402,802,210,733,321,557,132,392,145,958,277,759,121,296,909,222,811,149,940,201,1502,120,1420,212,952
CLUG_01131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLUG_01130,8197,12719,14088,21561,9637,5932,8553,7306,18894,11770,23176,10516,5540,21980,33053,21778,36828,11290,17096,13888,10368,13159,8791,17573
CLUG_02369,8029,17535,7062,20990,7530,7477,6627,8205,10935,7955,10514,7628,13133,11550,6733,11995,6439,7207,8427,8469,6156,14378,11598,8733
CLUG_01133,1953,901,1717,1347,1680,797,1280,716,2267,1923,1874,646,2262,2239,1383,2077,1605,2181,750,2692,570,2867,862,2251
CLUG_02368,3222,16781,3308,21677,3225,4660,2642,5956,3970,5387,3646,5554,8257,4509,7605,3948,7752,3423,7598,4034,7479,4595,10630,3718
CLUG_05126,33,150,19,200,34,132,28,161,2,558,0,198,634,8,531,4,668,130,449,246,266,28,353,14
CLUG_05127,2935,320,2040,430,1550,189,1053,311,2093,340,1901,567,397,4196,427,3955,579,4129,565,3077,385,2750,380,2305
CLUG_05124,756,737,453,1104,391,158,296,186,509,666,474,371,621,1090,1475,1128,2427,898,613,572,620,660,717,550
CLUG_05125,4981,5002,4788,4065,3111,1211,1944,1266,4145,2613,4862,3242,2873,7766,9720,8699,12256,6471,4241,4033,2318,4285,2742,3930
CLUG_05122,5200,1160,2512,2072,1965,495,1923,550,2907,2218,2793,1168,2432,5559,2469,6693,3241,7817,1795,5561,1002,4754,1992,3104
CLUG_05123,6411,3208,3813,4309,3519,1098,3715,1300,3864,5138,3424,2441,4747,7592,7701,7603,9415,9376,3710,5951,2854,5714,4109,4166
CLUG_05120,18517,1382,10730,2197,11520,806,10091,1067,18510,1018,13582,2304,834,30010,3195,29155,3610,21576,2046,14680,2022,18965,1880,14453
CLUG_05121,3373,1395,5106,2823,2697,408,1954,606,3844,1948,8388,956,2043,6115,5514,8638,13330,5529,1431,3542,958,3719,1520,3537
CLUG_01643,3361,572,4452,905,3030,285,2321,344,5232,408,4413,406,430,6042,553,5308,643,4805,491,6431,538,6332,609,5783
CLUG_05128,19986,11130,14114,8069,16256,2234,14539,2109,11320,1991,10650,5699,2515,30839,7344,28350,4700,22200,5045,11289,1446,12039,1138,13319
CLUG_01134,1644,405,1226,398,1479,497,1172,351,1376,1218,884,453,948,1606,461,1360,316,2170,512,2718,443,2510,450,1742
CLUG_04839,565,38,957,51,682,112,438,115,1117,156,944,134,272,871,37,754,23,813,138,1353,182,1383,148,1049
CLUG_04838,57,32,70,55,35,176,24,217,101,718,67,250,603,639,80,533,67,56,223,61,772,79,414,66
CLUG_01641,664,486,925,637,680,101,354,212,1203,249,1010,257,175,1130,432,1056,424,825,258,1181,298,1278,274,1055
CLUG_04833,118,16,186,14,91,105,45,129,201,489,135,73,451,164,83,158,53,137,127,261,175,215,137,182
CLUG_04832,266,26,476,20,364,218,107,221,418,828,383,113,952,510,134,474,141,454,181,739,241,695,302,510
CLUG_04831,7807,2665,6227,3249,7620,3107,8503,3221,7966,10647,6795,2523,11471,7215,3936,7241,4742,10165,3926,11236,6433,10102,5977,7163
CLUG_04830,583,399,1026,404,528,1682,507,1583,1265,5314,1094,1384,7244,1163,1517,1053,1816,837,1919,1340,1769,1225,2666,1220
CLUG_04837,692,78,922,107,511,48,446,83,1129,131,875,141,112,1257,50,1138,62,1080,181,1382,148,1400,146,1269
CLUG_04836,35,20,26,246,23,135,35,15,24,163,24,168,188,38,106,46,7,22,194,27,293,25,209,33
CLUG_04835,924,95,888,134,835,84,645,99,1048,149,860,99,156,1121,72,925,97,1195,131,1807,134,1793,139,1184
CLUG_04834,1429,221,2127,340,1369,85,509,104,3092,194,2860,190,281,2634,197,1985,108,2145,125,3338,128,2936,190,2844
CLUG_03288,902,38,1664,51,916,107,486,159,1865,211,1974,136,203,1525,35,1602,32,1732,94,2592,129,2011,125,2019
CLUG_01243,3014,1296,4393,1379,3083,521,1775,706,6186,1874,5974,747,1798,4818,1261,4104,1463,3862,990,5244,1641,4581,1269,5482
CLUG_01242,170,212,568,340,255,127,124,157,1014,467,1655,105,377,699,420,805,463,243,190,357,331,426,246,503
CLUG_01241,1226,11945,3244,15779,1336,4039,1044,5234,5653,14379,7098,4267,12054,4446,22766,4438,24551,1946,7557,3350,14052,3026,12051,3529
CLUG_01240,2255,2330,2475,2564,2440,1046,1834,1201,3317,2451,2553,1257,2339,2789,2494,2684,2538,2433,1582,3312,2863,3450,3028,2711
CLUG_01247,1250,3065,1824,4186,1128,2468,706,3286,2514,3096,1988,2081,3651,2291,3672,2372,3264,1853,3259,2280,3721,2753,5263,2259
CLUG_01246,783,648,929,910,977,254,735,338,1054,470,895,433,413,1102,754,1063,872,1051,549,1692,521,1603,517,970
CLUG_01245,451,467,624,429,632,198,406,237,798,299,587,271,334,782,405,678,367,578,245,768,253,929,281,639
CLUG_01244,1367,295,1504,396,1261,605,1004,764,2088,2670,1585,625,2341,1995,1410,1728,1406,1796,1045,2616,2213,2789,1753,2100
CLUG_01719,1647,1293,2431,1922,1664,250,1365,317,3692,406,2920,804,339,3015,1593,2489,1684,2710,886,4232,401,3493,361,3596
CLUG_01718,1402,591,1629,640,1361,486,1225,536,1542,809,1723,431,785,1871,527,1769,639,1549,606,2217,384,2421,850,1774
CLUG_01249,3987,1360,4219,1433,3745,660,3006,768,5939,1603,4728,600,1670,5491,1636,4854,1449,5086,831,6932,1004,7277,1172,5773
CLUG_01248,3770,1369,4600,1466,3693,1522,2644,1756,5856,4552,5247,1093,5140,6002,2867,5489,3026,5340,1700,6829,2143,6905,2694,5902
CLUG_02564,44173,33972,30759,42170,41649,5776,46658,7793,42964,7055,30857,10900,6178,45890,22810,45238,17359,55707,17156,59971,8765,66837,12422,47551
CLUG_03658,28,4,8,14,14,30,10,20,0,121,2,24,76,10,10,9,0,34,41,23,26,17,24,9
CLUG_03659,169,35,237,99,215,29,161,27,270,18,179,32,39,250,66,283,122,200,74,224,32,285,65,229
CLUG_03656,916,322,1339,335,1258,163,934,196,1685,237,1343,166,208,1583,237,1574,284,1207,228,1558,231,1781,209,1460
CLUG_03657,740,107,794,179,754,83,559,85,1166,55,893,57,70,1358,0,970,56,828,99,1047,113,1243,81,1071
CLUG_03654,1880,964,2976,1700,1533,1074,907,997,3150,5182,3362,1181,4121,3811,2703,3519,2519,2695,1757,2558,2225,3389,2770,3707
CLUG_03655,11,9,18,6,35,11,8,25,25,79,20,39,75,25,24,20,41,33,37,32,32,41,68,23
CLUG_03652,451,522,462,1045,342,245,308,314,864,417,546,368,273,674,915,658,844,559,512,630,541,608,457,695
CLUG_03653,62758,3537,40098,3057,50004,1547,53644,1913,52931,1903,38057,2662,2351,29616,1152,35472,1030,72132,2673,61429,1839,52021,2363,46494
CLUG_03650,2784,416,2137,531,2596,278,2307,295,2759,754,1820,292,988,3537,326,3227,375,2956,397,3177,261,3014,503,2779
CLUG_03651,1525,194,1547,252,2046,171,1314,240,1694,334,1257,133,505,2054,138,1658,159,1667,180,1843,147,1847,181,1649
CLUG_05719,904,278,1377,481,1155,218,895,301,1484,271,1357,240,378,1378,175,1372,270,1305,267,2022,163,1816,373,1218
CLUG_05718,1980,426,2029,812,2080,360,1622,410,2484,543,2061,362,414,2664,288,2491,355,2683,328,3465,411,3260,392,2524
CLUG_05715,17,0,57,0,0,98,37,0,14,50,46,0,116,29,0,33,0,0,0,56,0,32,38,11
CLUG_05714,769,466,1724,290,1180,100,522,171,1775,356,2129,232,246,1605,142,1510,150,1218,230,1581,109,1485,71,1573
CLUG_05717,1060,79,822,127,633,57,549,103,1448,73,860,99,81,1570,64,1499,27,1689,84,1978,113,1858,115,1628
CLUG_05716,646,200,1940,103,1473,111,714,183,1222,10,1868,146,116,1296,4,1430,66,985,105,1703,102,1537,148,960
CLUG_05711,4,1,8,0,4,61,0,13,6,104,2,28,210,4,12,6,10,19,49,44,4,12,30,10
CLUG_05710,6817,1321,5680,1554,6400,709,6226,960,5981,1007,4498,553,1085,7625,648,7393,586,7264,738,8264,624,10149,792,6955
CLUG_05713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLUG_05712,3437,2479,4998,2324,3857,4119,2919,5250,3910,7549,4982,2649,10041,4494,1685,5309,2247,4671,3988,5160,2392,4506,3008,4089
CLUG_04442,3994,615,4502,649,4951,363,4146,610,3924,486,4151,479,808,5140,606,4881,459,4734,510,5700,378,5135,610,4043
CLUG_04443,1386,1107,4176,1990,1762,480,1336,557,7109,971,8565,559,858,4575,1330,4789,1432,2131,592,2763,662,3077,685,4111
CLUG_04440,1,2,3,1,3,2,2,2,1,35,2,16,75,1,8,2,32,1,1,2,18,2,18,1
CLUG_04441,89165,30473,52438,21622,124272,7837,96245,8647,47914,3623,34312,11495,6529,70093,5815,53875,2277,91564,13654,89585,7283,77946,8663,54173
CLUG_04998,922,223,903,653,680,557,703,511,1707,1038,991,607,1727,1579,361,1512,220,1328,865,1573,500,1531,745,1627
CLUG_04999,791,429,1124,363,923,296,576,292,1314,502,1060,311,611,1195,141,1033,212,980,271,1474,389,1004,400,947
CLUG_04444,11100,14697,21799,21478,12329,5606,8348,7651,39273,5529,36988,10165,3877,37785,27217,37936,29398,14229,14768,16536,11095,16621,10638,26025
CLUG_04445,3342,9044,3663,10994,2397,3463,1367,3892,3189,2696,2725,4659,4098,4769,9130,4436,8231,3483,6950,3666,5683,4650,6591,3399
CLUG_04994,4877,3386,6696,3611,4940,1036,4015,1114,6744,1527,6778,1268,2377,7508,1933,6866,1968,6385,1511,8477,1212,8773,1638,7351
CLUG_04995,33674,12225,25193,17227,22899,10504,20868,13791,32754,7011,24377,13414,6660,23039,6323,30390,7403,34555,12337,39584,20667,55828,19300,36382
CLUG_04996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLUG_04997,824,311,1199,459,890,683,493,676,1519,1525,1242,648,2281,1446,263,1407,262,947,646,1247,676,1492,974,1206
CLUG_04990,4717,7340,6729,8861,4984,3478,2907,4399,8192,3293,8911,4755,3007,7034,8745,7575,10370,4874,6891,5921,5189,6155,4858,6223
CLUG_04991,1089,8016,262,9051,10246,19618,5834,21639,4985,5418,4368,9545,5590,1658,5703,1598,5135,1231,8589,13128,18986,14527,13415,253
CLUG_04992,1521,119,2099,220,1578,202,1016,261,2679,423,2069,221,504,2381,233,2155,177,2418,244,3284,280,2931,297,2534
CLUG_04993,754,80,1405,93,874,245,687,295,1305,661,1282,234,634,1343,109,1317,91,1048,224,1714,526,1290,299,1268
CLUG_04932,3391,2705,7925,3618,3149,959,5017,1005,9482,2436,12476,1629,1628,5842,2217,5585,3350,6141,2050,8180,3665,5594,2495,8094
CLUG_04421,755,301,1558,313,1089,139,696,187,1406,167,1273,223,155,1526,216,1468,168,1135,166,1831,222,1822,223,1434
CLUG_04422,6739,3064,13315,4004,6827,1200,4959,1731,14848,1107,16849,1951,1082,16748,5439,16872,6398,8259,2823,10007,1950,11119,2277,12912
CLUG_02291,455,177,801,205,674,204,428,154,1800,534,1524,142,513,964,352,1024,284,551,204,1007,281,1006,317,864
CLUG_02290,117,15,330,19,124,30,61,109,138,252,124,45,364,169,75,338,89,65,60,160,87,83,83,73
CLUG_02293,2,7,0,6,4,35,1,8,0,60,0,6,118,8,46,18,52,0,30,0,16,0,29,0
CLUG_05820,5638,11631,5889,11846,5842,6258,4783,7684,6134,9068,4703,9103,11194,5233,8285,4783,8051,7885,13822,10230,6665,9355,7889,7298
CLUG_05827,5822,5302,7633,5288,6780,1765,4404,2176,9163,2331,8236,2936,1963,8500,3937,7796,3474,7724,3048,10928,2659,10585,2095,8503
CLUG_02294,30,0,0,26,32,0,0,0,0,576,279,0,548,64,260,0,314,0,0,0,0,22,153,0
CLUG_02297,510,499,831,753,316,241,285,332,2592,971,2372,312,937,470,498,1059,561,609,541,450,609,469,982,797
CLUG_02296,8,0,19,22,0,0,20,0,57,181,143,17,77,14,62,17,145,18,9,22,88,10,45,44
CLUG_02299,28,59,36,86,14,58,18,61,51,200,32,67,264,23,52,30,24,58,114,86,67,62,173,46
CLUG_02298,1184,1310,1625,1384,1828,424,1190,617,2035,401,1765,611,435,1996,799,1791,873,1600,775,2199,617,2433,746,1619
CLUG_05829,1785,1136,1797,1267,1952,322,1467,354,2523,369,1907,479,311,2519,425,2389,340,2082,447,2531,538,2923,536,2191
CLUG_05828,2739,785,3486,782,2452,396,2096,548,3885,756,3516,604,955,4365,338,4210,350,3358,744,3886,707,4624,793,3887
CLUG_04937,829,222,1238,334,858,176,663,228,1658,121,1458,248,226,1494,192,1293,194,1264,384,1961,300,1720,319,1485
CLUG_04666,24,602,15,909,16,440,17,685,21,864,15,725,965,18,321,16,400,5734,23,21,616,6983,12,23
CLUG_04667,7077,124,3485,208,4822,126,2875,144,6475,217,3930,212,145,4546,71,4673,54,6956,168,5159,191,6668,188,5385
CLUG_04664,10,39,0,29,9,88,21,107,4,346,22,68,299,8,76,9,112,11,148,12,158,4,133,2
CLUG_04665,4363,672,4494,867,3570,388,3132,629,6814,864,5953,719,906,5233,321,4920,377,5027,850,7220,414,6474,642,5594
CLUG_04662,450,118,349,168,359,84,237,67,587,96,408,119,113,860,169,864,106,514,120,635,168,753,168,487
